mean_fit_time|std_fit_time|mean_score_time|std_score_time|param_smote|param_selectpercentile__percentile|param_pca|param_kneighborsclassifier__n_neighbors|param_featureunion__neigh_pipeline__encoder|params|split0_test_score|split1_test_score|split2_test_score|mean_test_score|std_test_score|rank_test_score|split0_train_score|split1_train_score|split2_train_score|mean_train_score|std_train_score
2.343693574269613|1.2655625670747173|2.593100627263387|0.9773171919723549|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|90||12|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 90, 'pca': None, 'kneighborsclassifier__n_neighbors': 12, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5765497409811624|0.6775425836940876|0.7123795275368037|0.6554906174040178|0.057602949240940456|9|0.7291431239496623|0.7971056520977965|0.8232365885998697|0.7831617882157761|0.03965869830978816
0.4225934346516927|0.23034958440468623|2.242043654123942|1.0694458160714317|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|80||5|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 80, 'pca': None, 'kneighborsclassifier__n_neighbors': 5, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.551645657810844|0.6721209046941565|0.7093532597560052|0.6443732740870018|0.06730710800035254|13|0.7142142446345288|0.75370152045552|0.7643577371250659|0.7440911674050382|0.021569447900573274
2.0366479555765786|0.8262853746618818|2.874677896499634|0.643857151743681||100|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|8|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 100, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 8, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5489217505784667|0.6695812639408398|0.6959871194071294|0.6381633779754787|0.06401754106533084|14|0.7355479735379705|0.7907737335768057|0.8101749305362653|0.7788322125503472|0.031614823749051106
1.2334593137105305|0.5981526733818288|2.2547450065612793|0.04639222925606577||90|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|12|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 90, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 12, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5673560540058994|0.6820974251025234|0.7179806802546684|0.6558113864543637|0.06423997394667771|8|0.7065303500533145|0.7621562001361101|0.7847932525403339|0.7511599342432529|0.03288321632801945
1.9548088709513347|1.2256760548005845|2.195193608601888|1.0176655903494878|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|100||12|"OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 100, 'pca': None, 'kneighborsclassifier__n_neighbors': 12, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5888777204343648|0.6785166458440186|0.7119908700347307|0.659795078771038|0.051974895904219|7|0.7294075870087592|0.7964432628260173|0.8235714735769198|0.7831407744705654|0.03957631051307129
0.6465296745300293|0.3894305762466557|2.523547887802124|0.6834558366481738||90||15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 90, 'pca': None, 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5750381767741001|0.6884196476387243|0.7276020983825844|0.663686640931803|0.06469275466754836|6|0.6887460666727894|0.7493611208025135|0.7732590374441737|0.737122074973159|0.03557111411675675
1.8003780047098796|0.8812019808811332|2.609022537867228|0.5375000775214624|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|100|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|5|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 100, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 5, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5310327088762313|0.6726635429522205|0.7055574529037419|0.636417901577398|0.07571891643207446|17|0.715604935263276|0.7506518389851983|0.765535646695728|0.7439308069814007|0.02093080965840792
4.201022227605184|1.8048834736282107|2.6420960426330566|0.6582665204932169|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|70|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|8|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 70, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 8, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5531887793451375|0.6654422044256461|0.6945755325501315|0.637735505440305|0.060955171352728224|16|0.7678414602036349|0.8295370990334447|0.8542740071879952|0.8172175221416916|0.03634533693744657
1.7463618914286296|0.6601254606715944|1.690005620320638|0.10815649176320705|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|70|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|8|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 70, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 8, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5458453446088132|0.6899763132311934|0.7275161611862109|0.6544459396754058|0.07830656414688351|10|0.6818267414034326|0.7300133034560612|0.7474645138758224|0.7197681862451053|0.02775849556182719
0.3396654923756917|0.15435766455870967|2.240834871927897|0.706765457405757|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|80||15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 80, 'pca': None, 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5460862000804112|0.7008910119221313|0.7450259229189572|0.6640010449738333|0.0853030111889542|5|0.6618576722825401|0.7079586008006828|0.7296805045617993|0.6998322592150075|0.028278522064992952
2.730138142903646|1.2086609096463214|2.836466630299886|0.742690712729976|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|80||15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 80, 'pca': None, 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.552234796120175|0.6792727266160783|0.7163082982001854|0.6492719403121462|0.07026171980692587|11|0.7094636730668911|0.7805778935649653|0.8066686909003362|0.7655700858440642|0.04107821476517492
1.000472068786621|0.4755067966697081|1.959228754043579|0.17584794767701387|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|100|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 100, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.6102336153237082|0.6995450618649588|0.7441608542729307|0.6846465104871992|0.05568124434677166|1|0.648402610256604|0.7085423547645155|0.7283188131640174|0.6950879260617122|0.03398446812465787
4.547058741251628|2.220570552719131|2.829171578089396|0.7888650024407863|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|90|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|5|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 90, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 5, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5730273757579251|0.6489994562636296|0.6712926895998864|0.631106507207147|0.042064523417944505|18|0.8210327632531724|0.8721765889205582|0.8939597621846145|0.8623897047861151|0.030566039096600862
1.2485721906026204|0.4772909483425228|1.619813362757365|0.21931064203669354||70|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|5|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 70, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 5, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5400817253472501|0.6458970329934897|0.6638542061163848|0.6166109881523749|0.05460867492601822|20|0.7829926586841619|0.8287887135842955|0.8457377478521083|0.8191730400401886|0.026502609141409894
1.2643839518229167|0.4833055451704509|1.8884796301523845|0.5497863260334112|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|70|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 70, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.6095685962068922|0.6964095610142633|0.7409387891255792|0.6823056487822449|0.054551029028238746|2|0.6488243848017632|0.7072731369992649|0.7282593241205295|0.6947856153071857|0.0336098303541452
4.450653314590454|2.1341861321556577|4.056669314702352|1.4751396787979987|"SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)"|90||8|"OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': SMOTE(k=None, k_neighbors=5, kind='regular', m=None, m_neighbors=10, n_jobs=1,
   out_step=0.5, random_state=None, ratio='auto', svm_estimator=None), 'selectpercentile__percentile': 90, 'pca': None, 'kneighborsclassifier__n_neighbors': 8, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None, categories=None,
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5739210064695051|0.6656691537200455|0.6950441754909589|0.6448781118935032|0.05158750548743815|12|0.7693903341280534|0.8302966790237514|0.8542125166161191|0.8179665099226413|0.035709246823534456
0.3452617327372233|0.09228950682831803|2.3487141927083335|0.5828094593238844|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|90||15|"OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 90, 'pca': None, 'kneighborsclassifier__n_neighbors': 15, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 4,  6,  8, 24, 26, 32, 36, 39, 50, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.6047070017659611|0.6979533054861833|0.743662305682457|0.6821075376448672|0.057824218631366414|3|0.64708453442466|0.708298518962095|0.7295997396974003|0.694994264361385|0.03497563121337485
1.147579034169515|0.512706314071157|2.107897917429606|0.25321091570352583||90|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|8|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 90, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 8, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 19, 24, 26, 28, 29, 31, 32, 34, 36, 37,
       39, 43, 48, 49, 50, 51, 55, 60, 61, 63, 68, 75, 77])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5488834628879802|0.6695553118885192|0.6959653452497105|0.6381347066754034|0.06402453099521745|15|0.7356166189007582|0.790777334372205|0.8102179261341187|0.7788706264690273|0.03159816482065854
1.094898780186971|0.5533885705604408|2.204906940460205|0.11291656649821422|"RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False)"|100|"PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False)"|12|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': RandomUnderSampler(random_state=None, ratio='auto', replacement=False,
          return_indices=False), 'selectpercentile__percentile': 100, 'pca': PCA(copy=True, iterated_power='auto', n_components=None, random_state=None,
  svd_solver='auto', tol=0.0, whiten=False), 'kneighborsclassifier__n_neighbors': 12, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5913541225962481|0.6930016612241785|0.7360759867233447|0.6734772568479238|0.060674026643977245|4|0.658010465202545|0.7148260843613548|0.7341880966070383|0.7023415487236461|0.03232806421843231
0.808890183766683|0.46471705318590223|2.100954453150431|0.4457171168992111||90||5|"OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)"|"{'smote': None, 'selectpercentile__percentile': 90, 'pca': None, 'kneighborsclassifier__n_neighbors': 5, 'featureunion__neigh_pipeline__encoder': OneHotEncoder(categorical_features=None,
       categories=[array([ 3,  4,  6,  8, 11, 13, 17, 24, 26, 32, 36, 39, 43, 49, 50, 51, 55,
       60, 61, 68])],
       dtype=<class 'numpy.float64'>, handle_unknown='ignore',
       n_values=None, sparse=False)}"|0.5466556695761651|0.6457063885094708|0.6639800510070265|0.6187807030308874|0.05154284317214345|19|0.7843295478588602|0.8288263121275916|0.8456587220816573|0.8196048606893697|0.025872678996490515
